[2026-04-07T07:14:47.404Z] [WARN] Keep-warm ping failed | {"healthUrl":"https://airsoft-app.onrender.com/api/health","error":"getaddrinfo ENOTFOUND airsoft-app.onrender.com"}
[2026-04-07T07:19:45.466Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:24:44.954Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:29:44.983Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:34:45.416Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:39:45.037Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:44:45.000Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:49:45.021Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:54:44.994Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T07:59:45.050Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:04:45.091Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:09:45.539Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:14:45.260Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:19:45.082Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:24:45.097Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:29:45.171Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:34:45.150Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:39:45.109Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:44:45.097Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:49:45.579Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:54:45.261Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T08:59:45.167Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:04:45.161Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:09:45.600Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:14:45.571Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:19:45.632Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:24:45.561Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:29:45.171Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:34:45.576Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:39:45.208Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:44:45.608Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:49:45.279Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:54:45.641Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T09:59:45.194Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:04:45.638Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:09:45.636Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:14:45.682Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:19:45.671Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:24:45.644Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:29:45.237Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:34:45.224Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:39:45.271Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:44:45.668Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:49:45.321Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:54:45.685Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T10:59:45.313Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:04:45.699Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:09:45.437Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:14:45.330Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:19:45.335Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:24:45.834Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:29:45.765Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:34:45.382Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:39:45.886Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:44:45.385Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:49:45.404Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:54:45.780Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T11:59:45.891Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:04:45.399Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:09:45.474Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:14:45.408Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:19:45.431Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:24:45.564Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:29:45.479Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:34:45.459Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:39:45.496Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:44:45.624Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:49:45.549Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:54:45.922Z] [DEBUG] Keep-warm ping OK | {"status":200}
[2026-04-07T12:59:45.573Z] [DEBUG] Keep-warm ping OK | {"status":200}
